f1_avg_bitrate,f2_avg_bitrate,diff_avg_bitrate,jaccard_unique_artists,jaccard_unique_albums,f1_generic_filename_score,f2_generic_filename_score,diff_generic_filename_score,f1_generic_title_score,f2_generic_title_score,diff_generic_title_score,f1_avg_duration,f2_avg_duration,diff_avg_duration,f1_std_duration,f2_std_duration,diff_std_duration,f1_min_duration,f2_min_duration,diff_min_duration,f1_max_duration,f2_max_duration,diff_max_duration,f1_total_duration,f2_total_duration,diff_total_duration,ratio_total_duration,f1_std_bitrate,f2_std_bitrate,diff_std_bitrate,f1_min_bitrate,f2_min_bitrate,diff_min_bitrate,f1_max_bitrate,f2_max_bitrate,diff_max_bitrate,f1_avg_other_file_size_bytes,f2_avg_other_file_size_bytes,diff_avg_other_file_size_bytes,f1_total_other_file_size_bytes,f2_total_other_file_size_bytes,diff_total_other_file_size_bytes,ratio_total_other_file_size_bytes,f1_parent_folder_name_len,f2_parent_folder_name_len,diff_parent_folder_name_len,parent_folder_names_match,jaccard_parent_folder_names,f1_quality_score,f2_quality_score,diff_quality_score,f1_hebrew_metadata_ratio,f2_hebrew_metadata_ratio,diff_hebrew_metadata_ratio,f1_metadata_completeness_ratio,f2_metadata_completeness_ratio,diff_metadata_completeness_ratio,f1_lossless_ratio,f2_lossless_ratio,diff_lossless_ratio,f1_lyrics_ratio,f2_lyrics_ratio,diff_lyrics_ratio,f1_num_other_files,f2_num_other_files,diff_num_other_files,ratio_num_other_files,jaccard_other_file_names,other_files_common_hash_ratio,other_files_common_avg_size_similarity,comp_file_hash_similarity,comp_file_size_similarity,comp_filename_similarity,comp_title_similarity,comp_album_similarity,comp_artist_similarity,comp_albumartist_similarity,comp_folder_name_similarity,comp_album_art_hash_similarity,comp_duration_similarity,comp_other_files_similarity,comp_avg_add_meta_similarity,comp_count_high_add_meta_similarity,comp_add_meta_sim_length,comp_add_meta_sim_date,comp_add_meta_sim_tracknumber,target_label,label_source,folder1_path_id,folder2_path_id,comp_add_meta_sim_genre,comp_add_meta_sim_media,comp_add_meta_sim_composer,comp_add_meta_sim_encodedby,comp_add_meta_sim_discnumber,comp_add_meta_sim_organization,comp_add_meta_sim_grouping,comp_add_meta_sim_bpm,comp_add_meta_sim_copyright,comp_add_meta_sim_barcode,comp_add_meta_sim_conductor,comp_add_meta_sim_website,comp_add_meta_sim_version,comp_add_meta_sim_compilation,comp_add_meta_sim_titlesort,comp_add_meta_sim_albumsort,comp_add_meta_sim_lyricist,comp_add_meta_sim_isrc,comp_add_meta_sim_author,comp_add_meta_sim_originaldate
128.0,320.0,192.0,0.0,0.0,0.22037324990646634,0.21466799406641757,0.005705255840048773,0.22037324990646634,0.21466799406641757,0.005705255840048773,244.76750625000005,227.97061224489795,16.796894005102104,49.312002706851274,22.881467080589488,26.430535626261786,158.701875,196.88489795918366,38.18302295918366,317.683125,275.5395918367347,42.14353316326532,2447.6750625000004,2279.7061224489794,167.96894005102104,0.9313761280553876,0.0,0.0,0.0,128.0,320.0,192.0,128.0,320.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,8,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.20051169158899246,0.5868600848866503,0.2242071751777634,0.4666666666666667,0.5999999999999999,0.5999999999999999,0.4666666666666666,0.0,0.5352141959242003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,gemini_cached,F:\שמע\כל המוזיקה\שרולי ויליגר\שאלו שלום ירושלים,F:\שמע\כל המוזיקה\שולי רנד\שולי שר בניון,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,256.0,128.0,0.0,0.0,0.22037324990646634,0.2388148374383998,0.01844158753193345,0.22037324990646634,0.6834907782276203,0.46311752832115394,244.76750625000005,359.27840625,114.51089999999994,49.312002706851274,83.10497511941527,33.792972412564,158.701875,234.43025,75.728375,317.683125,483.364625,165.68149999999997,2447.6750625000004,3592.7840625,1145.1089999999995,0.681275306258404,0.0,0.0,0.0,128.0,256.0,128.0,128.0,256.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,8,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.13628206476203467,0.43834111050240077,0.20434065934065937,0.2962962962962963,0.24000000000000005,0.24000000000000005,0.2068965517241379,0.0,0.16933388868139643,1.0,0.0,0.0,0.0,0.0,0.0,2.0,algo_low_certainty_sampled,F:\שמע\כל המוזיקה\שרולי ויליגר\שאלו שלום ירושלים,D:\זמרים שונים\חסידישערס\שלמה כהן\הנה-שלמה כהן,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,906.596,946.2199999999999,39.62399999999991,11.498035310434547,80.70262657435627,69.20459126392173,891.392,897.608,6.2159999999998945,923.48,1085.984,162.5039999999999,3626.384,3784.8799999999997,158.49599999999964,0.9581239035319483,0.0,0.0,0.0,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13,13,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9307793758319052,0.8,0.5714285714285714,0.0,0.0,0.0,0.4390243902439024,0.0,0.9307790682585838,0.0,1.0,1.0,0.0,0.0,0.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\061 אמת לרחק ואמת לקרב,D:\בעלי תשובה\ארז משה דורון\060 לבטל את היסורים,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,64.0,64.0,0.0,0.0,0.38131719861325575,0.406655878858337,0.025338680245081235,0.2232860251147749,0.4068967123537974,0.18361068723902246,302.81359375,221.16429861111112,81.64929513888887,58.9247036792995,118.00191209239074,59.07720841309124,206.7149375,22.873125,183.8418125,450.019375,493.495125,43.47574999999995,5450.6446875,3980.9573750000004,1469.6873124999997,0.730364498740774,0.0,0.0,0.0,128.0,64.0,64.0,128.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,7,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.18575113940576557,0.47899346995697134,0.2375133872062491,0.0,0.3225806451612903,0.0,0.0,0.0,0.23887612042160328,1.0,0.0,0.0,0.0,0.0,0.0,2.0,algo_low_certainty_sampled,F:\שמע\כל המוזיקה\שלמה יהודה רכניץ\שיר 1,F:\שמע\מסודר מחדש\חסידויות\ויזניץ\אלי גנץ\06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,314.6666666666667,186.66666666666669,0.0,0.0,0.536932899996058,0.9157303370786517,0.3787974370825937,0.2605936095631882,1.0,0.7394063904368118,326.57666666666665,305.55852840136055,21.018138265306106,103.0556001137969,75.7143814456717,27.341218668125194,182.34666666666666,186.5138,4.167133333333339,557.4,418.595,138.80499999999995,3918.9199999999996,3666.702340816327,252.21765918367282,0.9356410288590549,0.0,17.688665548562135,17.688665548562135,128.0,256.0,128.0,128.0,320.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,12,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.25799065935665283,0.16341539280702538,0.028615656789031402,0.07514761137949544,0.14458621300726562,0.0,0.08333333333333337,0.0,0.25761730167243585,1.0,0.0,0.0,0.0,0.0,0.0,2.0,algo_low_certainty_sampled,D:\אינסטרומנטלי\Avi Singolda\Guitar Soulo,D:\חדשים כסליו\כרטיס 16 אולטרה\שירים מזרחיים\Kol Halashon\אבי בן ישראל,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,49.6,78.4,0.0,0.0,0.4176545194355998,0.3485684374830365,0.06908608195256327,0.3059660306060563,0.23885277961251997,0.06711325099353635,311.61743125000004,303.26585,8.351581250000038,86.00069906740062,146.5160809272683,60.515381859867674,180.9320625,126.1405,54.7915625,467.3124375,561.7585,94.44606250000004,3116.1743125000003,3032.6585,83.51581250000027,0.9731992487823962,0.0,4.8,4.8,128.0,48.0,80.0,128.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,16,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.17702283575317293,0.5885156283096787,0.26339547163076577,0.0,0.23076923076923078,0.0,0.25,0.0,0.35087541635567243,1.0,0.0,0.0,0.0,0.0,0.0,2.0,algo_low_certainty_sampled,D:\זמרים שונים\משה גולדמן\אם אשכחך ירושלים,F:\שמע\מסודר מחדש\חסידויות\גור\גור ניגונים\גור 1100 ניגונים\97 אונגר,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,128.0,64.0,0.0,0.0,0.23189715060247,0.3684853982120865,0.1365882476096165,0.23189715060247,0.3684853982120865,0.1365882476096165,274.64905380333954,243.93114204545455,30.71791175788499,68.43988676578311,45.73392327497734,22.70596349080577,195.91836734693877,167.2225,28.69586734693877,401.2408163265306,318.7495625,82.49125382653057,3021.139591836735,2683.2425625,337.8970293367347,0.8881557706735072,0.0,0.0,0.0,192.0,128.0,64.0,192.0,128.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,10,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.41188939320795565,0.47509322227664247,0.2735911694813739,0.0,0.0,0.0,0.10526315789473684,0.0,0.35939287060944675,1.0,0.0,0.0,0.0,0.0,0.0,2.0,algo_low_certainty_sampled,F:\שמע\כל המוזיקה\צבי זילברשטיין\שמחה,D:\אוסף אייזנטל\פרחי\פרחי אהרון\ונתתי שלום בארץ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320.0,128.0,192.0,0.0,0.0,0.34896068234746985,1.0,0.6510393176525302,0.29204057379256165,1.0,0.7079594262074383,335.4488163265306,481.96443750000003,146.5156211734694,114.46948779707533,435.9546531326036,321.4851653355283,194.29877551020408,52.1590625,142.13971301020408,587.0497959183673,1438.1106875,851.0608915816327,3354.488163265306,4337.6799375,983.1917742346941,0.7733369477690528,0.0,0.0,0.0,320.0,128.0,192.0,320.0,128.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,20,12,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.09999999999999998,1.0,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.29504567525045367,0.2638155606576659,0.09616383616383614,0.10188679245283017,0.13789173789173786,0.13846153846153847,0.23880597014925375,0.0,0.08535628605049407,1.0,0.9,1.0,0.0,0.0,0.9,2.0,algo_low_certainty_sampled,E:\חדשים\חדשים עט\דוד פנחס ראטה מיטן גאנץ הארץ מרכז המוזיקה החסידית_,C:\Users\me\Documents\TEST2\אוסף אייזנטל\להקות\חתונות\חתונה יעקב - חיי משה\חתונת יעקב לרנר 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,128.0,0.0,0.0,0.0,1.0,0.35618585257416197,0.6438141474258381,1.0,0.35618585257416197,0.6438141474258381,329.6493958333333,321.6479166666667,8.001479166666627,178.1202387367412,80.47961527831974,97.64062345842144,191.1243125,229.9639375,38.839624999999984,798.45875,491.240625,307.218125,2966.8445624999995,2894.83125,72.0133124999993,0.975727305228516,0.0,0.0,0.0,128.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,9,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.6450204612019614,0.2686209577693943,0.08408610032707041,0.16666666666666663,0.2727272727272727,0.2727272727272727,0.3529411764705882,0.0,0.4538607749376598,1.0,0.0,0.0,0.0,0.0,0.0,2.0,algo_low_certainty_sampled,D:\אוסף אייזנטל\להקות\התעלות,F:\שמע\כל המוזיקה\צליל וזמר\6-אחת שאלתי,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,128.0,0.0,0.0,0.0,0.23715335979103883,0.38140729576621946,0.14425393597518063,0.24474957082416537,0.38140729576621946,0.13665772494205408,294.11801875000003,288.907125,5.210893750000025,118.40352223890531,123.23947891280618,4.835956673900867,180.5401875,141.315875,39.224312499999996,586.8749375,478.461,108.41393749999997,2941.1801875,2889.07125,52.10893750000014,0.9822829836398794,0.0,0.0,0.0,128.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,9,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.37506574720307406,0.4481513427653446,0.2056212741506859,0.2962962962962963,0.26785714285714285,0.0,0.3783783783783784,0.0,0.1,1.0,0.1,0.0,0.0,0.0,0.1,2.0,algo_low_certainty_sampled,E:\חדשים\חדשים עח\כסליו\מנגן כליזמירון - דוד הלר,D:\חזנות\משה אוישר\ליל יום כיפור,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
